America’s Misguided Immigration Debate	アメリカ の 見当 違い な 移民 討論
There was a time when north-south migratory flows in the western hemisphere were limited to Mexico and the Caribbean.	かつて の 西 半球 に おい て 、 南北 の 移民 流入 が メキシコ と カリブ 海 に 制限 さ れ た 時代 が あっ た 。
That changed in the 1980’s, when Central America’s civil wars sent hundreds of thousands of migrants thru Mexico to the US, and then in the 1990’s, when people fleeing violence in Colombia, Venezuela, Peru, and Ecuador also began searching for opportunity.	この 状態 は 、 まず 1980 年 代 に 中央 アメリカ の 市民 戦争 が 原因 で 数千 人 が メキシコ を 通っ て 米国 に 移住 し 、 その 後 、 1990 年 代 に コロンビア 、 ベネズエラ 、 ペルー 、 エクアドル に おけ る 暴力 から 逃れ た 人々 が チャンス を 探し はじめ た 事 に よっ て 変化 し た 。
Today, even Brazil, traditionally a country of immigration, has become one of emigration.	今日 、 伝統 的 に 移民 を 受け入れ て き た 国 で ある ブラジル で さえ も 、 移民 を 送り出す 国 の 一 つ と なっ た 。
Moreover, these migrants are no longer exclusively of rural origin, nor do they travel only to traditional areas in the US; they are, literally, everywhere.	さらに 、 これ ら の 移民 は いま や 、 おしなべて 地方 出身 者 と いう わけ で は なく 、 また 行き先 も 米国 の 伝統 的 な 地域 だけ に 限ら れ て は い ない ； 彼 ら は 、 文字 通り 、 あらゆる 所 に いる の だ 。
Their remittances contribute immensely to the economic welfare of their families, communities, and home countries’ economies.	彼 ら の 仕送り は 家族 、 コミュニティ 、 そして 母国 の 経済 厚生 に 非常 に 貢献 し て いる 。
Thus, whatever immigration policy emerges in the US will have an enormous impact south of the Rio Grande well beyond Mexico.	したがっ て 、 米国 に おい て 打ち出さ れる 移民 政策 は 、 どんな もの で あっ て も 、 メキシコ を 優に 越え リオ ・ グランデ の 南 まで に 及ぶ 莫大 な 影響 を 持つ こと に なる 。
This will occur precisely at a time when Latin America is swerving left, with country after country drifting back to anti-American, populist stances: Venezuela in 1999, Bolivia last year, perhaps Mexico, Peru, and Nicaragua later this year.	これ は まさに ラテンアメリカ が 左派 に 片寄り 、 各国 が 次々 に 反米 、 人民 主義 姿勢 に 振り 戻る 局面 を 迎え た 時 に 起こる 状況 で ある ： 1999 年 ベネズエラ 、 昨年 ボリビア で 起こり 、 そして おそらく 今年 の 後半 、 メキシコ 、 ペルー 、 ニカラグア で 起こる 。
If the perception of further US hostility toward Latin America persists, the tilt toward an irresponsible, demagogic left will harden.	もし 、 米国 の ラテンアメリカ に 対する 敵意 の 認識 が 続け ば 、 無 責任 で 扇動 的 な 左派 に 対する 論争 が 強固 に なる だろう 。
The responsible left in Chile, Brazil, and Uruguay are an exception to the emerging rule set by Venezuela’s President Hugo Chávez.	責任 を 果たせる チリ 、 ブラジル 、 そして ウルグアイ の 左派 は 、 ベネズエラ の ウゴ ・ チャベス 大統領 に よっ て 敷か れ た 規定 の 例外 で ある 。
The best way to accentuate the region’s growing anti-American sentiment is to try to close the US-Mexican border (which will be futile).	地域 で 増え つつ ある 反米 感情 を 強調 する 一 番 の 方法 は 、 米 － メキシコ 国境 を 閉鎖 しよう と する こと で ある ( 無駄 な こと だ ) 。
Instead, the US should establish humane, secure, and legal mechanisms of temporary or permanent entry for people the American economy needs and wants, and it should work with, not against, governments in Latin America.	それ より も 、 米国 は 、 国内 経済 が 必要 と し 求め て いる 人々 を 臨時 あるいは 永久 的 に 入国 さ せる 、 人道 的 、 安全 かつ 合法 な メカニズム を 構築 する べき で ある 。 そして この メカニズム は 、 ラテンアメリカ 政府 と 対立 する の で は なく 、 協力 する 方向 に 動く べき で ある 。
Five years ago, Mexico’s President Vicente Fox tried to convince Bush that something had to be done before a nativist backlash in the US complicated its relations with Latin America and made goals such as a Free Trade Agreement of the Americas (FTAA) impossible.	5 年 前 、 メキシコ 大統領 ヴィンセント ・ フォックス は 、 米国 に おけ る ネイティビスト の 逆戻り が ラテンアメリカ と の 関係 を 複雑 化 し 、 米州 自由 貿易 協定 など の ゴール 到達 を 不 可能 に し て しまう 前 に 、 何 ら か の 対策 を 取ら なけれ ば なら ない と 述べ 、 ブッシュ を 説得 しよう と 試み た 。
But matters have gotten worse: border tensions between the US and Mexico have grown, the proposed wall has rightly provoked indignation, more unauthorized immigrants than ever are entering the US, and the FTAA has collapsed.	しかし 事態 は さらに 悪化 し た ： 米国 と メキシコ の 国境 に おけ る 緊張 は 高まり 、 提案 さ れ た 壁 は 当然 の こと ながら 憤慨 を 煽り 、 かつて ない ほど 多数 の 無 許可 移民 が 米国 へ 流れ込み 、 そして FTAA は 失敗 し た 。
Bush must begin to use what political capital he has left to support enlightened immigration reform, along the lines of the Kennedy-McCain bill.	ブッシュ は 啓発 さ れ た 移民 改革 並び に ケネディ ー ・ マッ ケイン 議案 を 支援 する ため に 、 彼 の 元 に 残る 政治 的 資本 を 使い 始め なけれ ば なら ない 。
He will never get a guest-worker program without Democratic support, which in turn is unlikely unless the White House supports access to a program for unauthorized immigrants already in the US that includes some type of path to residence and citizenship.	出稼ぎ 労働 者 プログラム は 民主 主義 の 支援 が なけれ ば 実現 し ない 。 ホワイト ハウス が 居住 と 市民 権 を 得る ため の いく つ か の 選択 肢 を 含む プログラム へ の 既に 米国 に 住む 無 許可 移民 に よる アクセス を 支援 し ない 限り 、 実現 は 難しい 。
Mexico and the US must be sensitive to domestic political concerns in both countries.	メキシコ と 米国 は お 互い の 国 の 国内 政治 問題 に 敏感 で なけれ ば なら ない 。
No immigration deal is feasible north of the border without addressing security matters; south of the border, there is no conceivable Mexican cooperation on border security or on a Temporary Workers Program if immigration reform ignores the nearly five million Mexican citizens without papers currently living in the US.	国境 以北 に おけ る 移民 政策 は 、 警備 問題 を 処理 し ない 限り 実行 でき ない ； 国境 以南 に おい て は 、 移民 改革 が 、 現在 米国 に 不法 滞在 し て いる 約 五百 万 の メキシコ 市民 を 無視 する 限り 、 国境 警備 あるいは 出稼ぎ 労働 者 プログラム へ の メキシコ から の 協力 は 考え られ ない 。
Mexico must act on what Fox has called “shared responsibility.”	メキシコ は フォックス が 「 共有 する 責任 」 と 呼ん だ もの に 従わ なけれ ば なら ない 。
The best imaginable deal between the US and Mexico, or the best imaginable US immigration reform, will not eliminate the flow of undocumented migrants from Mexico and South America overnight.	米国 － メキシコ 間 で 想像 し うる 取引 、 言い換えれ ば 米国 に おい て 想像 し うる 移民 改革 は 、 メキシコ や 南 アメリカ から の 不法 移民 の 流入 を 一夜 に し て 解消 する こと は ない 。
Mexico has to assume responsibility for regulating this traffic, which means more than sealing off its southern border.	メキシコ は 、 その 流入 の 交通 整理 と いう 責任 を 負わ なけれ ば なら ず 、 その ため に は 南側 国境 を 封鎖 する だけ で は 済ま ない 。
The government could, for example, double welfare payments to households whose male heads stay home, threaten to revoke land reform rights after years of absence in rural communities, and establish choke points on highways at the Tehuantepec Isthmus.	政府 は 、 例えば 、 稼ぎ頭 の 男性 が 働き に 出 ない 家庭 に 対する 福祉 金 の 支給 を 2 倍 に する 、 農業 地域 から 長く 離れ た 者 に 農地 改革 の 権利 取り消し を 警告 する 、 テワンテペク 地峡 の 高速 道路 に 検問 所 を 設置 する など の 対策 を 取れる だろう 。
Fox has said that he is willing to break with old Mexican taboos, but the Bush administration has never taken him up on it.	フォックス は メキシコ の 古い タブー を 破る 覚悟 が ある と 示し た が 、 ブッシュ 政権 は いまだ それ に 応じ た こと が ない 。 これ は 残念 で ある 。
That is unfortunate, because Fox will not be around forever.	フォックス は 永遠 に いる わけ で は ない から だ 。
Immigration has always been an immensely complex and delicate issue inside the US, and now for Latin America as well.	これ まで 常 に 、 移民 は 米国 内 に おい て 大変 に 複雑 で 繊細 な 問題 と さ れ て き て 、 今 、 それ は ラテンアメリカ に おい て も 同様 の こと と なっ た 。
A window of opportunity opened at the beginning of Bush’s first term, and closed shut after the terrorist attacks of September 2001.	チャンス の 窓 は ブッシュ の 第 一 期 の 初頭 に 開か れ 、 2001 年 9 月 の テロ 攻撃 後 に 閉ざさ れ た 。
It is opening again and should be taken advantage of before it is too late.	今 また その 戸 は 開き かけ て いる の で あり 、 手遅れ に なる 前 に 、 うまく 利用 する べき で ある 。
	
A New Anti-Semitism	新しい 反 ユダヤ 主義
These are violent times.	現代 は 暴力 の 時代 で ある 。
Some believe that we are experiencing a new kind of conflict: “culture wars,” such as those between Sunni and Shiite Muslims or tribal groups in Africa and Asia, or indeed Islamists and Westerners.	我々 は 新しい タイプ の 戦い で ある 「 文化 戦争 」 を 経験 し て いる と 考える 者 も いる 。 それ は ムスリム の スンニ 派 と シーア 派 、 あるいは アジア や アフリカ に おけ る 種族 間 、 それ に また 、 イスラム 教 徒 と 西欧 人 と の 間 に 見 られる 種 の もの で ある 。
However, the deeper reasons for some of these conflicts may well be more traditional.	しかし 、 これ ら の うち いく つ か の 戦い の 根本 に ある 理由 は 、 もっと 伝統 的 な もの で ある と 言える だろう 。
Belonging to a particular cultural group is merely a pretext for battles between the winners and losers of globalization.	ある 特定 の 文化 社会 に 属し て いる と いう こと は 、 国際 化 に おけ る 勝者 と 敗者 と の 闘争 の 口実 に 過ぎ ない 。
Ruthless leaders mobilize disoriented followers.	冷酷 な 指導 者 は 分別 を 失っ た 信奉 者 を 駆使 する 。
Particularly the losers, often represented by young men with no future to look forward to, can be induced to take even suicidal action against the alleged enemy.	特に 、 期待 す べき 未来 を 失っ た 若者 など が その 代表 で ある 敗者 たち は 、 「 敵 」 と 設定 さ れ た 者 に 向け た 自殺 的 な 行為 に さえ 誘導 さ れ 得る 。
Perhaps one should not be surprised that at such a time, the oldest of our ugly ­– indeed, deadly – resentments, anti-Semitism, is re-emerging from the shadows.	我々 の 知る 、 醜く 、 実 に おぞましい 憤り の 感情 － 反 ユダヤ 主義 の うち 、 最も 古い もの が 、 闇 から よみがえり つつ ある こと も 、 この よう な 時代 に おい て は 、 驚く べき こと で は ない か も しれ ない 。
Its comeback takes the classical form of attacks on individuals, like the recent killing of a young Jew in France, or of disfiguring symbolic places, like cemeteries and synagogues.	その カムバック は 個人 へ の 攻撃 と いう 古典 的 な 形 を とっ た 。 例えば 、 最近 フランス で 起き た 若い ユダヤ 人 の 殺害 事件 や 、 墓地 や シナゴーグ など の 象徴 的 な 場所 が 荒らさ れ た 事件 など が 挙げ られる 。
But there is also a more general sense of hostility to all things Jewish.	しかし 、 それ より 総括 的 な 、 ユダヤ に 関する あらゆる 事柄 に 対する 敵意 も くすぶっ て いる 。
One would have thought that anti-Semitism died forever with the Holocaust; but it did not.	反 ユダヤ 主義 は ホロコースト と 共 に 滅び去っ た と 思わ れ て い た か も しれ ない が 、 そう で は ない 。
There are those who deny that the Holocaust ever took place, or that it did in its all-too-well-documented manner.	ホロコースト は はじめ から 無かっ た と 主張 する 者 や 、 巧妙 な 文書 の 上 で 事実 化 さ れ た もの だ と する 者 も いる 。
The deniers range from second-rate historians like David Irving to apparently popular politicians like Iran’s recently elected president, Mahmoud Ahmadinejad.	否定 論 者 の 顔ぶれ は 、 デイビッド ・ アービング の よう な 二流 歴史 家 から 、 最近 イラン 大統領 に 選ば れ た マハムード ・ アフマディネジャード の よう な 人気 の ある らしい 政治 家 に まで 及ぶ 。
The evidence of what Nazi Germany did is so powerful that those who deny it can probably be dealt with even without putting them in prison and thereby drawing more attention to them than they deserve.	ナチス ドイツ が し た こと の 証拠 は 非常 に 強力 で あり 、 否定 する 者 を 牢獄 に 入れ て 彼 ら に 本来 より 多く の 注目 を 引く まで も 無く 、 対応 できる 問題 で は ない か と 思わ れる 。
The more worrisome source of anti-Semitism is different and justifies speaking of a new anti-Semitism.	より 気がかり な 反 ユダヤ 主義 の 源流 は これ と は 異なり 、 新た な 反 ユダヤ 主義 に つい て 語る こと を 正当 化 する 。
It has to do with Israel.	それ は イスラエル に 関する 問題 だ 。
To be sure, America is the first name in anti-Western resentment.	確か に 、 アメリカ は 西側 に 反発 する 勢力 の 標的 と し て 一番 に 挙げ られ て いる 。
But its second name is Israel, the only successful modern country in the Middle East, which is also highly militarized, an occupying power, and ruthless in defense of its interests.	しかし 二 番 目 は 、 中東 で 唯一 成功 し て いる 近代 国家 で ある と 同時 に 、 高度 の 武装 勢力 、 支配 力 を 持ち 、 そして 利益 を 守る ため の 無 慈悲 な 防衛 を 厭わ ない 、 イスラエル で ある 。
It is difficult to exaggerate the strange sentiment in the West which one might call Palestine romanticism.	西側 で 見 られる パレスチナ ・ ロマンチシズム と で も 呼ぶ べき 未知 の 感情 を 誇張 する の は 難しい 。
Intellectuals like the late Edward Said gave voice to it, but it has many followers in the United States and Europe.	エドワード ・ サイード の よう な 最近 の 識者 が これ に 対し 意見 を 述べ た が 、 米国 や 欧州 で この 感情 を 信奉 する 者 は 多い 。
Palestine romanticism glorifies the Palestinians as the victims of Israel’s rule, points to the treatment of Israeli Palestinians as at best second-class citizens, and cites the many incidents of oppression in the occupied territories, including the effects of Israel’s “security fence.”	パレスチナ ・ ロマンチシズム は パレスチナ 人 を イスラエル の 規制 に よる 犠牲 者 と し て 称揚 し 、 イスラエル に よる パレスチナ 人 に 対する 扱い が 最高 で も 二 級 市民 に 過ぎ ない と いう 点 を 指摘 し 、 イスラエル の 「 安全 策 」 に よる 影響 を 含む 支配 下 に 置か れ た 領域 に おけ る 多く の 抑圧 事変 を 例証 する 。
Implicitly or explicitly, people take the side of the victims, contribute by sending money to them, declare even suicide bombers legitimate, and move ever further away from support for and defense of Israel.	暗黙 的 あるいは 明示 的 に 、 人々 は 犠牲 者 の 味方 に つき 、 資金 を 送る こと で 彼 ら に 貢献 し 、 自爆 者 の 正当 性 を 主張 する もの さえ 出 て いる が 、 その こと に よっ て 、 支援 と イスラエル から の 防衛 から ますます 逸れ て 離れ つつ ある 。
Of course, it is true that in theory one can oppose Israel’s policies without being anti-Semitic.	もちろん 、 学説 の 中 に おい て は 反 ユダヤ 主義 に なら ず に イスラエル 政策 へ の 反対 が 可能 で ある 。
After all, there are enough critics of Israel’s policies among Israelis.	何 と いっ て も 、 イスラエル 政策 に 対する 批判 は イスラエル 人 の 間 に 十分 に ある の だ 。
Yet the distinction has become more and more difficult to maintain.	しかし その 区別 は ますます 維持 が 難しく なっ て き た 。
Jews outside Israel feel that they have to defend – right or wrong – the country that, after all, is their ultimate hope of security.	イスラエル の 外 に いる ユダヤ 人 は 、 国 を 護ら なけれ ば なら ない と － 正しく とも 間違っ て いよう とも － 感じ て いる 。 結局 の ところ 、 彼 ら の 究極 の 願い は 安全 な の だ 。
This makes their friends hesitate to speak up for fear of being painted into not just an anti-Israel, but also an anti-Semitic corner.	これ は 彼 ら の 友人 に 、 反 イスラエル と 見なさ れる こと だけ で なく 、 反 ユダヤ 主義 に まとめ られる こと を 恐れ させ 、 意見 を 述べる こと を 躊躇 さ せる 。
The defensiveness of Jews and the uneasy silence of their friends mean that the stage of public debate is open for those who actually are anti-Semitic, though they confine themselves to anti-Israel language.	ユダヤ の 防御 性 と 彼 ら の 友人 の 気がかり な 静寂 は 、 彼 ら は 彼 ら 自身 を 反 イスラエル の 言語 に 限定 し て いる に も かかわら ず 、 公共 の 討論 の 場 が 実際 に 反 ユダヤ 主義 で ある 者 に のみ 開か れ て いる こと を 意味 する 。
Anti-Semitism is disgusting in whatever form it arises.	反 ユダヤ 主義 は どの よう な 形 で 現れよう と 、 いや な もの だ 。
This is true also for other kinds of group hatred, but the Holocaust makes anti-Semitism unique, because it is an emotion complicit in the near annihilation of an entire people.	他 の 集団 に 対する 嫌悪 も もちろん うんざり だ が 、 ホロコースト は 全 人口 を ほぼ 絶滅 に 追い込ん だ 共犯 の 感情 で ある こと から 、 反 ユダヤ 主義 を 独特 な もの に し て いる 。
The new anti-Semitism, however, cannot be fought successfully by education and argument in the rest of the world alone.	しかし ながら 、 世界 の 他 の 国々 に おけ る 教育 と 議論 のみ で は 、 新た な 反 ユダヤ 主義 に 立ち向かう こと は でき ない 。
It is linked to Israel.	それ は イスラエル に 関連 し て いる の だ 。
If one belongs to a generation that regarded Israel as one of the great achievements of the twentieth century, and admired the way in which the country provided a proud home for the persecuted and downtrodden, one is particularly concerned that it may now be at risk.	イスラエル が 20 世紀 の 偉大 な 達成 の ひと つ で ある と 見なさ れ 、 迫害 さ れ 虐げ られ た 者 たち に 誇れる 住処 を 与え た 国 と し て 称賛 さ れる 時代 に 生きる 者 に とっ て は 特に 、 今 まさに それ が 危機 に さらさ れ て いる か も しれ ない と 思える の だ 。
	
Forging a Stronger Post-Pandemic ASEAN+3 Economy	パンデミック 後 の ASEAN + 3 地域 経済 の 強化 に 向け て
TOKYO/HANOI – The modern international financial system emerged from the devastation of World War II.	東京 ／ ハノイ – 現代 の 国際 金融 システム は 、 第 二 次 世界 大戦 の 荒廃 から 誕生 し た 。
Since then, it has continued to be shaped by historic slumps – most recently, the 2008 global financial crisis.	それ 以降 も 、 国際 金融 システム は 、 2008 年 の 世界 金融 危機 など の 歴史 的 な 苦境 に よっ て 形作ら れ て き た 。
Today, the COVID-19 pandemic is putting the global financial system to another stringent test.	今日 、 新型 コロナ ウイルス の パンデミック に よっ て 、 国際 金融 システム は 新た な 試練 に さらさ れ て いる 。
And the unprecedented challenge facing the ASEAN+3 region – the ten members of the Association of Southeast Asian Nations (Brunei Darussalam, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam), plus China, Japan, and Korea – further underscores the importance of regional financial cooperation.	東南 アジア 諸国 連合 の 10 カ国 （ ブルネイ 、 カンボジア 、 インドネシア 、 ラオス 、 マレーシア 、 ミャンマー 、 フィリピン 、 シンガポール 、 タイ 、 ベトナム ） に 、 日本 、 中国 、 韓国 を 加え た ASEAN + 3 地域 が 前例 の ない 困難 に 直面 する 中 、 地域 金融 協力 の 重要 性 は 更に 高まっ て いる 。
Since the 1997 Asian financial crisis, the ASEAN+3 economies have been diligently enhancing their regional financial-safety measures.	1997 年 の アジア 通貨 危機 以降 、 ASEAN + 3 地域 は 、 地域 金融 セーフティ ネット の 強化 に 努め て き た 。
The annual ASEAN+3 Finance Ministers’ and Central Bank Governors’ Meeting has been the focal point for regional cooperation aimed at strengthening economic and financial resilience.	毎年 開催 さ れ て いる ASEAN + 3 財務 大臣 ・ 中央 銀行 総裁 会合 は 、 経済 ・ 金融 の 強靭 性 強化 を 目的 と し た 地域 金融 協力 に おい て 、 中心 的 な 役割 を 担っ て いる 。
To this end, the ASEAN+3 countries decided in 2000 to establish the Chiang Mai Initiative, the region’s financial safety net.	ASEAN + 3 地域 で は 、 2000 年 に 地域 金融 セーフティ ネット と し て 、 チェンマイ ・ イニシアティブ （ CMI ） の 設立 を 決め た 。
The CMI was a network of bilateral swap arrangements among the ASEAN+3 countries that aimed to provide US dollar liquidity to members in times of need and supplement financial assistance from the International Monetary Fund.	CMI は 、 ASEAN + 3 地域 に おけ る 二 国 間 スワップ の ネットワーク で あり 、 必要 な 時 に 加盟 国 に 米 ドル の 流動 性 を 提供 し 、 国際 通貨 基金 （ IMF ） から の 金融 支援 を 補完 する こと を 目的 と し た 。
In March 2010, following the global financial crisis, the CMI evolved into the Chiang Mai Initiative Multilateralization (CMIM) Agreement, under which the participating swap arrangements would henceforth be governed by a single agreement and a centralized decision-making body.	世界 金融 危機 後 の 2010 年 3 月 、 CMI は 、 契約 書 の 一 本 化 並び に 意思 決定 機能 の 集約 を 可能 と する チェンマイ ・ イニシアティブ ・ マルチ 化 契約 書 （ CMIM ） へ と 進化 し た 。
The size of the CMIM facility was set at $120 billion.	また 、 CMIM の 支援 総額 は 1 , 200 億 ドル と さ れ た 。
Since its establishment, the CMIM Agreement has been upgraded twice.	それ 以降 、 CMIM は 、 これ まで 2 度 に わたり 機能 が 強化 さ れ た 。
The first amendment, in 2014, doubled the size of the arrangement to $240 billion, and increased the “IMF de-linked” portion – the maximum amount members could access without IMF co-financing – from 20% to 30%.	2014 年 の 最初 の 機能 強化 で は 、 CMIM の 支援 総額 が 2 , 400 億 ドル に 倍増 さ れる と とも に 、 IMF と の 協調 なく CMIM 単独 で 支援 が 実施 できる 、 いわゆる 「 IMF デ リンク ポーション 」 の 割合 も 、 （ IMF と の 協調 融資 の 場合 に 利用 可能 な 額 の ） 20 ％ から 30 ％ へ と 引き上げ られ た 。
The second amendment, to promote greater flexibility in co-financing with IMF financial assistance, and strengthen coordination with the Fund, entered into force in June.	2 度 目 の CMIM 契約 書 改訂 は 、 今年 6 月 に 発効 し た が 、 これ に より 、 CMIM は IMF と の 協調 融資 へ の 取り組み が より 柔軟 に 行える よう に なり 、 IMF と の 連携 も 更に 強化 さ れる こと と なっ た 。
At their most recent meeting, on September 18, ASEAN+3 finance ministers and central-bank governors exchanged views on the global and regional economic outlook, as well as policy responses to risks and challenges arising from the COVID-19 pandemic.	9 月 18 日 に 開催 さ れ た 直近 の ASEAN + 3 財務 大臣 ・ 中央 銀行 総裁 会議 で は 、 世界 経済 及び 地域 経済 の 見通し 、 及び 新型 コロナ 禍 が もたらす リスク や 課題 へ の 政策 対応 に つい て 意見 交換 を 行っ た 。
Over the past few months, the region’s policymakers have deployed extraordinary pandemic-related measures in the form of targeted fiscal, monetary, and credit support to households and firms, and have afforded regulatory forbearance and liquidity support to the financial system.	ここ 数 ヶ月 の 間 、 域内 で は 、 家計 ・ 企業 に 対する 財政 ・ 金融 ・ 信用 供与 の 形態 で 類 まれ な パンデミック 対策 を 講じる と とも に 、 規制 執行 の 一時 猶予 と 金融 システム に 対する 流動 性 支援 を 行っ て き た 。
Against this backdrop, ASEAN+3 finance ministers and central-bank governors announced a timely and historic agreement to strengthen the CMIM, which will certainly help members to cope better with the heightened risk and uncertainty posed by the pandemic.	この よう な 状況 の 中 、 我々 、 ASEAN + 3 の 財務 大臣 と 中央 銀行 総裁 は 、 CMIM の 更なる 強化 に つい て 、 タイムリー かつ 歴史 的 な 合意 を 発表 し た 。 これ に より 、 パンデミック に よる リスク と 不 確実 性 の 高まり に 、 メンバー 国 が より うまく 対処 できる よう に なる だろう 。
The latest enhancement will allow members to access up to 40% of the CMIM facility without IMF co-financing.	今回 の 合意 で は 、 メンバー 国 が IMF から の 金融 支援 なく CMIM を 利用 可能 な 額 （ 上述 の 「 IMF デ リンク ポーション 」 ） を 40 ％ へ と 引き上げる 。
Moreover, members agreed to formulate the option of using their own currencies for CMIM crisis financing, in addition to the dollar, on a voluntary and demand-driven basis.	さらに 、 自発 的 かつ 需要 が ある 場合 に は 、 ドル に 加え て メンバー 国 通貨 を 危機 時 の 引出 通貨 と し て 選択 する こと も 可能 と し た 。
These amendments, which will take effect upon completion of the signing process by all ASEAN+3 members, further strengthen the CMIM as a robust and reliable regional self-help mechanism, and reinforce its importance and relevance in the global financial safety net.	今回 の CMIM 契約 書 改訂 は 、 全 メンバー 国 の 署名 手続き の 完了 時 に 発効 する が 、 これ は 、 CMIM を より 強固 で 信頼 の おける 地域 の 自助 メカニズム と し て さらに 強化 する と とも に 、 グローバル 金融 セーフティ ネット に おけ る CMIM の 重要 性 と 妥当 性 を さらに 補強 する もの で ある 。
In this regard, the ASEAN+3 Macroeconomic Research Office (AMRO), established in 2011 to conduct regional macroeconomic surveillance and aid the implementation of the CMIM, plays an important role as a “trusted family doctor” to support the group’s members.	この 関連 で 、 地域 の マクロ 経済 サーベイランス を 実施 する と とも に 、 CMIM の 実施 を 支援 する ため に 2011 年 に 設立 さ れ た ASEAN + 3 マクロ 経済 リサーチ オフィス （ AMRO ） は 、 ASEAN + 3 メンバー を 支援 する 「 信頼 の おける 家庭 医 」 と し て 重要 な 役割 を 果たし て いる 。
AMRO’s mandate to contribute to regional economic and financial stability is even more critical in today’s environment.	地域 の 経済 ・ 金融 の 安定 に 貢献 する と いう AMRO の 使命 は 、 今日 の 環境 下 で は より 一層 重要 と なっ て いる 。
Under the leadership of Doi Toshinori, AMRO has produced timely analyses and updates on the pandemic’s regional impact to support members’ policymaking.	土井 俊範 所長 の リーダーシップ の 下 、 AMRO は 、 各国 の 政策 立案 を 支援 する べく 、 パンデミック の 影響 に つい て 時宜 を 得 た 分析 や アップデート を 提供 し て き た 。
Since its outbreak, the COVID-19 pandemic has taken a heavy toll on both human life and national economies.	新型 コロナ ウイルス に よる パンデミック は 、 その 発生 以来 、 人命 と 経済 の 両方 に 多大 な 影響 を 与え て き た 。
