America’s Misguided Immigration Debate	アメリカの見当違いな移民討論
That changed in the 1980’s, when Central America’s civil wars sent hundreds of thousands of migrants thru Mexico to the US, and then in the 1990’s, when people fleeing violence in Colombia, Venezuela, Peru, and Ecuador also began searching for opportunity.	この状態は、まず1980年代に中央アメリカの市民戦争が原因で数千人がメキシコを通って米国に移住し、その後、1990年代にコロンビア、ベネズエラ、ペルー、エクアドルにおける暴力から逃れた人々がチャンスを探しはじめた事によって変化した。
Today, even Brazil, traditionally a country of immigration, has become one of emigration.	今日、伝統的に移民を受け入れてきた国であるブラジルでさえも、移民を送り出す国の一つとなった。
Moreover, these migrants are no longer exclusively of rural origin, nor do they travel only to traditional areas in the US; they are, literally, everywhere.	さらに、これらの移民はいまや、おしなべて地方出身者というわけではなく、また行き先も米国の伝統的な地域だけに限られてはいない；彼らは、文字通り、あらゆる所にいるのだ。
Their remittances contribute immensely to the economic welfare of their families, communities, and home countries’ economies.	彼らの仕送りは家族、コミュニティ、そして母国の経済厚生に非常に貢献している。
Thus, whatever immigration policy emerges in the US will have an enormous impact south of the Rio Grande well beyond Mexico.	したがって、米国において打ち出される移民政策は、どんなものであっても、メキシコを優に越えリオ・グランデの南までに及ぶ莫大な影響を持つことになる。
This will occur precisely at a time when Latin America is swerving left, with country after country drifting back to anti-American, populist stances: Venezuela in 1999, Bolivia last year, perhaps Mexico, Peru, and Nicaragua later this year.	これはまさにラテンアメリカが左派に片寄り、各国が次々に反米、人民主義姿勢に振り戻る局面を迎えた時に起こる状況である：1999年ベネズエラ、昨年ボリビアで起こり、そしておそらく今年の後半、メキシコ、ペルー、ニカラグアで起こる。
If the perception of further US hostility toward Latin America persists, the tilt toward an irresponsible, demagogic left will harden.	もし、米国のラテンアメリカに対する敵意の認識が続けば、無責任で扇動的な左派に対する論争が強固になるだろう。
The responsible left in Chile, Brazil, and Uruguay are an exception to the emerging rule set by Venezuela’s President Hugo Chávez.	責任を果たせるチリ、ブラジル、そしてウルグアイの左派は、ベネズエラのウゴ・チャベス大統領によって敷かれた規定の例外である。
The best way to accentuate the region’s growing anti-American sentiment is to try to close the US-Mexican border (which will be futile).	地域で増えつつある反米感情を強調する一番の方法は、米－メキシコ国境を閉鎖しようとすることである(無駄なことだ ) 。
Instead, the US should establish humane, secure, and legal mechanisms of temporary or permanent entry for people the American economy needs and wants, and it should work with, not against, governments in Latin America.	それよりも、米国は、国内経済が必要とし求めている人々を臨時あるいは永久的に入国させる、人道的、安全かつ合法なメカニズムを構築するべきである。 そしてこのメカニズムは、ラテンアメリカ政府と対立するのではなく、協力する方向に動くべきである。
Five years ago, Mexico’s President Vicente Fox tried to convince Bush that something had to be done before a nativist backlash in the US complicated its relations with Latin America and made goals such as a Free Trade Agreement of the Americas (FTAA) impossible.	5年前、メキシコ大統領ヴィンセント・フォックスは、米国におけるネイティビストの逆戻りがラテンアメリカとの関係を複雑化し、米州自由貿易協定などのゴール到達を不可能にしてしまう前に、何らかの対策を取らなければならないと述べ、ブッシュを説得しようと試みた。
But matters have gotten worse: border tensions between the US and Mexico have grown, the proposed wall has rightly provoked indignation, more unauthorized immigrants than ever are entering the US, and the FTAA has collapsed.	しかし事態はさらに悪化した：米国とメキシコの国境における緊張は高まり、提案された壁は当然のことながら憤慨を煽り、かつてないほど多数の無許可移民が米国へ流れ込み、そしてFTAAは失敗した。
Bush must begin to use what political capital he has left to support enlightened immigration reform, along the lines of the Kennedy-McCain bill.	ブッシュは啓発された移民改革並びにケネディー・マッケイン議案を支援するために、彼の元に残る政治的資本を使い始めなければならない。
He will never get a guest-worker program without Democratic support, which in turn is unlikely unless the White House supports access to a program for unauthorized immigrants already in the US that includes some type of path to residence and citizenship.	出稼ぎ労働者プログラムは民主主義の支援がなければ実現しない。 ホワイトハウスが居住と市民権を得るためのいくつかの選択肢を含むプログラムへの既に米国に住む無許可移民によるアクセスを支援しない限り、実現は難しい。
Mexico and the US must be sensitive to domestic political concerns in both countries.	メキシコと米国はお互いの国の国内政治問題に敏感でなければならない。
No immigration deal is feasible north of the border without addressing security matters; south of the border, there is no conceivable Mexican cooperation on border security or on a Temporary Workers Program if immigration reform ignores the nearly five million Mexican citizens without papers currently living in the US.	国境以北における移民政策は、警備問題を処理しない限り実行できない；国境以南においては、移民改革が、現在米国に不法滞在している約五百万のメキシコ市民を無視する限り、国境警備あるいは出稼ぎ労働者プログラムへのメキシコからの協力は考えられない。
Mexico must act on what Fox has called “shared responsibility.”	メキシコはフォックスが「共有する責任」と呼んだものに従わなければならない。
The best imaginable deal between the US and Mexico, or the best imaginable US immigration reform, will not eliminate the flow of undocumented migrants from Mexico and South America overnight.	米国－メキシコ間で想像しうる取引、言い換えれば米国において想像しうる移民改革は、メキシコや南アメリカからの不法移民の流入を一夜にして解消することはない。
Mexico has to assume responsibility for regulating this traffic, which means more than sealing off its southern border.	メキシコは、その流入の交通整理という責任を負わなければならず、そのためには南側国境を封鎖するだけでは済まない。
The government could, for example, double welfare payments to households whose male heads stay home, threaten to revoke land reform rights after years of absence in rural communities, and establish choke points on highways at the Tehuantepec Isthmus.	政府は、例えば、稼ぎ頭の男性が働きに出ない家庭に対する福祉金の支給を2倍にする、農業地域から長く離れた者に農地改革の権利取り消しを警告する、テワンテペク地峡の高速道路に検問所を設置するなどの対策を取れるだろう。
Fox has said that he is willing to break with old Mexican taboos, but the Bush administration has never taken him up on it.	フォックスはメキシコの古いタブーを破る覚悟があると示したが、ブッシュ政権はいまだそれに応じたことがない。 これは残念である。
That is unfortunate, because Fox will not be around forever.	フォックスは永遠にいるわけではないからだ。
Immigration has always been an immensely complex and delicate issue inside the US, and now for Latin America as well.	これまで常に、移民は米国内において大変に複雑で繊細な問題とされてきて、今、それはラテンアメリカにおいても同様のこととなった。
A window of opportunity opened at the beginning of Bush’s first term, and closed shut after the terrorist attacks of September 2001.	チャンスの窓はブッシュの第一期の初頭に開かれ、2001年9月のテロ攻撃後に閉ざされた。
It is opening again and should be taken advantage of before it is too late.	今またその戸は開きかけているのであり、手遅れになる前に、うまく利用するべきである。
	
A New Anti-Semitism	新しい反ユダヤ主義
These are violent times.	現代は暴力の時代である。
Some believe that we are experiencing a new kind of conflict: “culture wars,” such as those between Sunni and Shiite Muslims or tribal groups in Africa and Asia, or indeed Islamists and Westerners.	我々は新しいタイプの戦いである「文化戦争」を経験していると考える者もいる。 それはムスリムのスンニ派とシーア派、あるいはアジアやアフリカにおける種族間、それにまた、イスラム教徒と西欧人との間に見られる種のものである。
However, the deeper reasons for some of these conflicts may well be more traditional.	しかし、これらのうちいくつかの戦いの根本にある理由は、もっと伝統的なものであると言えるだろう。
Belonging to a particular cultural group is merely a pretext for battles between the winners and losers of globalization.	ある特定の文化社会に属しているということは、国際化における勝者と敗者との闘争の口実に過ぎない。
Ruthless leaders mobilize disoriented followers.	冷酷な指導者は分別を失った信奉者を駆使する。
Particularly the losers, often represented by young men with no future to look forward to, can be induced to take even suicidal action against the alleged enemy.	特に、期待すべき未来を失った若者などがその代表である敗者たちは 、 「 敵」と設定された者に向けた自殺的な行為にさえ誘導され得る。
Perhaps one should not be surprised that at such a time, the oldest of our ugly ­– indeed, deadly – resentments, anti-Semitism, is re-emerging from the shadows.	我々の知る、醜く、実におぞましい憤りの感情－反ユダヤ主義のうち、最も古いものが、闇からよみがえりつつあることも、このような時代においては、驚くべきことではないかもしれない。
Its comeback takes the classical form of attacks on individuals, like the recent killing of a young Jew in France, or of disfiguring symbolic places, like cemeteries and synagogues.	そのカムバックは個人への攻撃という古典的な形をとった。 例えば、最近フランスで起きた若いユダヤ人の殺害事件や、墓地やシナゴーグなどの象徴的な場所が荒らされた事件などが挙げられる。
But there is also a more general sense of hostility to all things Jewish.	しかし、それより総括的な、ユダヤに関するあらゆる事柄に対する敵意もくすぶっている。
One would have thought that anti-Semitism died forever with the Holocaust; but it did not.	反ユダヤ主義はホロコーストと共に滅び去ったと思われていたかもしれないが、そうではない。
There are those who deny that the Holocaust ever took place, or that it did in its all-too-well-documented manner.	ホロコーストははじめから無かったと主張する者や、巧妙な文書の上で事実化されたものだとする者もいる。
The deniers range from second-rate historians like David Irving to apparently popular politicians like Iran’s recently elected president, Mahmoud Ahmadinejad.	否定論者の顔ぶれは、デイビッド・アービングのような二流歴史家から、最近イラン大統領に選ばれたマハムード・アフマディネジャードのような人気のあるらしい政治家にまで及ぶ。
The evidence of what Nazi Germany did is so powerful that those who deny it can probably be dealt with even without putting them in prison and thereby drawing more attention to them than they deserve.	ナチスドイツがしたことの証拠は非常に強力であり、否定する者を牢獄に入れて彼らに本来より多くの注目を引くまでも無く、対応できる問題ではないかと思われる。
The more worrisome source of anti-Semitism is different and justifies speaking of a new anti-Semitism.	より気がかりな反ユダヤ主義の源流はこれとは異なり、新たな反ユダヤ主義について語ることを正当化する。
It has to do with Israel.	それはイスラエルに関する問題だ。
To be sure, America is the first name in anti-Western resentment.	確かに、アメリカは西側に反発する勢力の標的として一番に挙げられている。
But its second name is Israel, the only successful modern country in the Middle East, which is also highly militarized, an occupying power, and ruthless in defense of its interests.	しかし二番目は、中東で唯一成功している近代国家であると同時に、高度の武装勢力、支配力を持ち、そして利益を守るための無慈悲な防衛を厭わない、イスラエルである。
It is difficult to exaggerate the strange sentiment in the West which one might call Palestine romanticism.	西側で見られるパレスチナ・ロマンチシズムとでも呼ぶべき未知の感情を誇張するのは難しい。
Intellectuals like the late Edward Said gave voice to it, but it has many followers in the United States and Europe.	エドワード・サイードのような最近の識者がこれに対し意見を述べたが、米国や欧州でこの感情を信奉する者は多い。
Palestine romanticism glorifies the Palestinians as the victims of Israel’s rule, points to the treatment of Israeli Palestinians as at best second-class citizens, and cites the many incidents of oppression in the occupied territories, including the effects of Israel’s “security fence.”	パレスチナ・ロマンチシズムはパレスチナ人をイスラエルの規制による犠牲者として称揚し、イスラエルによるパレスチナ人に対する扱いが最高でも二級市民に過ぎないという点を指摘し、イスラエルの「安全策」による影響を含む支配下に置かれた領域における多くの抑圧事変を例証する。
Implicitly or explicitly, people take the side of the victims, contribute by sending money to them, declare even suicide bombers legitimate, and move ever further away from support for and defense of Israel.	暗黙的あるいは明示的に、人々は犠牲者の味方につき、資金を送ることで彼らに貢献し、自爆者の正当性を主張するものさえ出ているが、そのことによって、支援とイスラエルからの防衛からますます逸れて離れつつある。
Of course, it is true that in theory one can oppose Israel’s policies without being anti-Semitic.	もちろん、学説の中においては反ユダヤ主義にならずにイスラエル政策への反対が可能である。
After all, there are enough critics of Israel’s policies among Israelis.	何といっても、イスラエル政策に対する批判はイスラエル人の間に十分にあるのだ。
Yet the distinction has become more and more difficult to maintain.	しかしその区別はますます維持が難しくなってきた。
Jews outside Israel feel that they have to defend – right or wrong – the country that, after all, is their ultimate hope of security.	イスラエルの外にいるユダヤ人は、国を護らなければならないと－正しくとも間違っていようとも－感じている。 結局のところ、彼らの究極の願いは安全なのだ。
This makes their friends hesitate to speak up for fear of being painted into not just an anti-Israel, but also an anti-Semitic corner.	これは彼らの友人に、反イスラエルと見なされることだけでなく、反ユダヤ主義にまとめられることを恐れさせ、意見を述べることを躊躇させる。
The defensiveness of Jews and the uneasy silence of their friends mean that the stage of public debate is open for those who actually are anti-Semitic, though they confine themselves to anti-Israel language.	ユダヤの防御性と彼らの友人の気がかりな静寂は、彼らは彼ら自身を反イスラエルの言語に限定しているにもかかわらず、公共の討論の場が実際に反ユダヤ主義である者にのみ開かれていることを意味する。
Anti-Semitism is disgusting in whatever form it arises.	反ユダヤ主義はどのような形で現れようと、いやなものだ。
This is true also for other kinds of group hatred, but the Holocaust makes anti-Semitism unique, because it is an emotion complicit in the near annihilation of an entire people.	他の集団に対する嫌悪ももちろんうんざりだが、ホロコーストは全人口をほぼ絶滅に追い込んだ共犯の感情であることから、反ユダヤ主義を独特なものにしている。
The new anti-Semitism, however, cannot be fought successfully by education and argument in the rest of the world alone.	しかしながら、世界の他の国々における教育と議論のみでは、新たな反ユダヤ主義に立ち向かうことはできない。
It is linked to Israel.	それはイスラエルに関連しているのだ。
If one belongs to a generation that regarded Israel as one of the great achievements of the twentieth century, and admired the way in which the country provided a proud home for the persecuted and downtrodden, one is particularly concerned that it may now be at risk.	イスラエルが20世紀の偉大な達成のひとつであると見なされ、迫害され虐げられた者たちに誇れる住処を与えた国として称賛される時代に生きる者にとっては特に、今まさにそれが危機にさらされているかもしれないと思えるのだ。
	
Forging a Stronger Post-Pandemic ASEAN+3 Economy	パンデミック後のASEAN+3地域経済の強化に向けて
TOKYO/HANOI – The modern international financial system emerged from the devastation of World War II.	東京／ハノイ – 現代の国際金融システムは、第二次世界大戦の荒廃から誕生した。
Since then, it has continued to be shaped by historic slumps – most recently, the 2008 global financial crisis.	それ以降も、国際金融システムは、2008年の世界金融危機などの歴史的な苦境によって形作られてきた。
Today, the COVID-19 pandemic is putting the global financial system to another stringent test.	今日、新型コロナウイルスのパンデミックによって、国際金融システムは新たな試練にさらされている。
And the unprecedented challenge facing the ASEAN+3 region – the ten members of the Association of Southeast Asian Nations (Brunei Darussalam, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam), plus China, Japan, and Korea – further underscores the importance of regional financial cooperation.	東南アジア諸国連合の10カ国（ブルネイ、カンボジア、インドネシア、ラオス、マレーシア、ミャンマー、フィリピン、シンガポール、タイ、ベトナム）に、日本、中国、韓国を加えたASEAN+3地域が前例のない困難に直面する中、地域金融協力の重要性は更に高まっている。
Since the 1997 Asian financial crisis, the ASEAN+3 economies have been diligently enhancing their regional financial-safety measures.	1997 年のアジア通貨危機以降、ASEAN+3 地域は、地域金融セーフティネットの強化に努めてきた。
The annual ASEAN+3 Finance Ministers’ and Central Bank Governors’ Meeting has been the focal point for regional cooperation aimed at strengthening economic and financial resilience.	毎年開催されている ASEAN+3 財務大臣・中央銀行総裁会合は、経済・金融の強靭性強化を目的とした地域金融協力において、中心的な役割を担っている。
To this end, the ASEAN+3 countries decided in 2000 to establish the Chiang Mai Initiative, the region’s financial safety net.	ASEAN+3 地域では、 2000 年に地域金融セーフティネットとして、チェンマイ・イニシアティブ（CMI）の設立を決めた。
The CMI was a network of bilateral swap arrangements among the ASEAN+3 countries that aimed to provide US dollar liquidity to members in times of need and supplement financial assistance from the International Monetary Fund.	CMI は、ASEAN+3 地域における二国間スワップのネットワークであり、必要な時に加盟国に米ドルの流動性を提供し、国際通貨基金（IMF）からの金融支援を補完することを目的とした。
In March 2010, following the global financial crisis, the CMI evolved into the Chiang Mai Initiative Multilateralization (CMIM) Agreement, under which the participating swap arrangements would henceforth be governed by a single agreement and a centralized decision-making body.	世界金融危機後の 2010 年 3 月、CMI は、契約書の一本化並びに意思決定機能の集約を可能とするチェンマイ・イニシアティブ・マルチ化契約書（CMIM）へと進化した。
The size of the CMIM facility was set at $120 billion.	また、CMIMの支援総額は 1,200 億ドルとされた。
Since its establishment, the CMIM Agreement has been upgraded twice.	それ以降、CMIM は、これまで2度にわたり機能が強化された。
The first amendment, in 2014, doubled the size of the arrangement to $240 billion, and increased the “IMF de-linked” portion – the maximum amount members could access without IMF co-financing – from 20% to 30%.	2014年の最初の機能強化では、CMIMの支援総額が2,400億ドルに倍増されるとともに、IMFとの協調なくCMIM単独で支援が実施できる、いわゆる「IMFデリンクポーション」の割合も 、 （ IMFとの協調融資の場合に利用可能な額の）20％から30％へと引き上げられた。
The second amendment, to promote greater flexibility in co-financing with IMF financial assistance, and strengthen coordination with the Fund, entered into force in June.	2度目のCMIM契約書改訂は、今年6月に発効したが、これにより、CMIMはIMFとの協調融資への取り組みがより柔軟に行えるようになり、IMFとの連携も更に強化されることとなった。
At their most recent meeting, on September 18, ASEAN+3 finance ministers and central-bank governors exchanged views on the global and regional economic outlook, as well as policy responses to risks and challenges arising from the COVID-19 pandemic.	9月18日に開催された直近のASEAN+3財務大臣・中央銀行総裁会議では、世界経済及び地域経済の見通し、及び新型コロナ禍がもたらすリスクや課題への政策対応について意見交換を行った。
Over the past few months, the region’s policymakers have deployed extraordinary pandemic-related measures in the form of targeted fiscal, monetary, and credit support to households and firms, and have afforded regulatory forbearance and liquidity support to the financial system.	ここ数ヶ月の間、域内では、家計・企業に対する財政・金融・信用供与の形態で類まれなパンデミック対策を講じるとともに、規制執行の一時猶予と金融システムに対する流動性支援を行ってきた。
Against this backdrop, ASEAN+3 finance ministers and central-bank governors announced a timely and historic agreement to strengthen the CMIM, which will certainly help members to cope better with the heightened risk and uncertainty posed by the pandemic.	このような状況の中、我々、ASEAN+3の財務大臣と中央銀行総裁は、CMIMの更なる強化について、タイムリーかつ歴史的な合意を発表した。 これにより、パンデミックによるリスクと不確実性の高まりに、メンバー国がよりうまく対処できるようになるだろう。
The latest enhancement will allow members to access up to 40% of the CMIM facility without IMF co-financing.	今回の合意では、メンバー国がIMFからの金融支援なくCMIMを利用可能な額（上述の「IMFデリンクポーション 」 ） を40％へと引き上げる。
Moreover, members agreed to formulate the option of using their own currencies for CMIM crisis financing, in addition to the dollar, on a voluntary and demand-driven basis.	さらに、自発的かつ需要がある場合には、ドルに加えてメンバー国通貨を危機時の引出通貨として選択することも可能とした。
These amendments, which will take effect upon completion of the signing process by all ASEAN+3 members, further strengthen the CMIM as a robust and reliable regional self-help mechanism, and reinforce its importance and relevance in the global financial safety net.	今回のCMIM契約書改訂は、全メンバー国の署名手続きの完了時に発効するが、これは、CMIMをより強固で信頼のおける地域の自助メカニズムとしてさらに強化するとともに、グローバル金融セーフティネットにおけるCMIMの重要性と妥当性をさらに補強するものである。
In this regard, the ASEAN+3 Macroeconomic Research Office (AMRO), established in 2011 to conduct regional macroeconomic surveillance and aid the implementation of the CMIM, plays an important role as a “trusted family doctor” to support the group’s members.	この関連で、地域のマクロ経済サーベイランスを実施するとともに、CMIMの実施を支援するために2011年に設立されたASEAN+3マクロ経済リサーチオフィス（AMRO）は、ASEAN+3メンバーを支援する「信頼のおける家庭医」として重要な役割を果たしている。
AMRO’s mandate to contribute to regional economic and financial stability is even more critical in today’s environment.	地域の経済・金融の安定に貢献するというAMROの使命は、今日の環境下ではより一層重要となっている。
Under the leadership of Doi Toshinori, AMRO has produced timely analyses and updates on the pandemic’s regional impact to support members’ policymaking.	土井俊範所長のリーダーシップの下、AMROは、各国の政策立案を支援するべく、パンデミックの影響について時宜を得た分析やアップデートを提供してきた。
Since its outbreak, the COVID-19 pandemic has taken a heavy toll on both human life and national economies.	新型コロナウイルスによるパンデミックは、その発生以来、人命と経済の両方に多大な影響を与えてきた。
Within the ASEAN+3 region, policymakers have implemented necessary containment measures to control the transmission of the coronavirus, which inevitably affected economic activity.	ASEAN+3地域内の政策当局は、ウイルスの伝播を抑制するために必要な封じ込め策を実施したが、経済活動への影響は避けられなかった。
With the global economy increasingly interconnected, the disruptions to international supply chains and the challenges faced by many industries have demonstrated the importance of mitigating the region’s vulnerability to economic and financial shocks.	世界経済の結びつきが強まる中で、グローバルサプライチェーンは混乱し、多くの産業が困難に直面しており、経済・金融ショックに対する地域の脆弱性を緩和することの重要性は増している。
We are encouraged by the progress of the CMIM and AMRO as important tools for strengthening our economies’ resilience.	この点、我々は、経済の強靭性を強化するための重要なツールであるCMIMとAMROで進展がみられることに、勇気づけられている。
While growth is projected to fall sharply for many economies this year, we expect the ASEAN+3 economies to rebound in due course – and there are early signs of recovery.	今年は多くの国で成長率が大幅に低下すると予測されているが、ASEAN+3経済はいずれ回復すると予想しており、早期回復の兆しもみられる。
Given the pandemic’s uncertain trajectory, however, the ASEAN+3 countries will remain vigilant, and we will cautiously plan our exit from pandemic-related measures to safeguard growth and financial stability in the region.	しかしながら、パンデミックの不確実性を踏まえ、ASEAN+3諸国は引き続き警戒を続けるとともに、地域の成長と金融の安定を守るために、パンデミックに対応する措置からの出口戦略を慎重に見極めていく。
Finally, the ASEAN+3 finance ministers and central-bank governors pledge to remain resolute in our commitment to uphold an open and rules-based multilateral trade and investment system, and to strengthen regional cooperation and integration.	最後に、ASEAN+3地域の財務大臣と中央銀行総裁は、開かれた、ルールに基づく多角的な貿易・投資体制への支持と、地域の統合と協力の強化へのコミットメントを引き続き堅持する。
	
China’s Baby Step	中国の小さな一歩
Whatever the ultimate economic effects of China’s first modest step towards floating its currency, one has to admire its strategic brilliance.	中国が踏み出した流動相場制への控えめな第一歩が、経済にどう影響を及ぼすにせよ､我々はその戦略の巧妙さに感服するべきだろう。
The genius of China’s mini-move (allowing the Yuan to rise 2% against the dollar) is that no one can tell when or what is going to happen next.	今回の小幅な改革（人民元の為替レートを対ドルで２％切り上げ）は、この先いつどう動くのか、全く予想がつけられない点が特質的である｡
Protectionists in the United States and Europe, itching to slap huge punitive tariffs on Chinese goods, have been caught flat-footed.	中国製品に対する厳しい報復関税を望んでいた欧米の保護貿易主義者らは、不意打ちをくらわされている。
They want to keep bathing in press coverage, but if they push their China-bashing too far and too fast, the protectionists will be seen as hindering delicate behind-the-scenes negotiations.	彼らは常に意見を報道に流していたいだろうが、中国バッシングをあまり急に強めれば、舞台裏でのデリケートな交渉を邪魔する者と写るだろう。
But no one knows whether China’s baby step is the start of something much bigger, as China’s authorities hint one day and deny the next.	しかし、中国の小さな一歩が、今後大きな前進へ繋がっているかどうかは、誰にも断言できないのも事実である。
By relenting just a little to intense global pressure to revalue its exchange rate, the Chinese leadership has masterfully stifled the growing chorus of demands to rein in its growing trade surplus.	中国当局の方針はあいまいだ。 中国は、為替レートの平価切り上げを迫る国際社会の圧力をほんの少し和らげることで、高まる貿易黒字抑制の声を横柄に牽制した。
The key question, however, remains whether China is defying market forces at its own risk.	しかし、重要な疑問は、果たして中国は自らの責任で市場の力に反抗しているのかということだ。
On the surface, at least, the mini-revaluation hardly seems to have compromised China’s ability to bend exchange markets to its will.	為替市場を意のままに従わせる中国の力は、少なくとも表面的には、小幅切り上げによって弱まることはないと見える。
Foreign experts had warned that a small Yuan appreciation might be worse than none.	すでに各国の専門家が、人民元の小幅な価値上昇は、全く上昇しない場合より始末が悪くなるだろうと警告していた。
While hardly denting global trade imbalances, a small move would bring in a flood of foreign capital, overwhelming China’s currency defenses and leading to chaos.	世界貿易の不均衡に大きな影響は及ぼしていないものの、小幅な改革は大規模な外国資本の流入を招き、中国の通貨攻防を圧倒し、混乱を招くかもしれない。
So far, that has not happened and, China once again seems to have gone its own way and proved the experts wrong.	しかしこれまでのところ、そのような動きはない。 中国は今回もわが道を通し、専門家たちの鼻を折ったかに見える。
But hold the applause.	しかし、絶賛するにはまだ早い。
Perhaps the speculative-inflow scenario will play out, but in slow motion.	投機的な買いを招くという構想通りにうまく進むかもしれないが、しかしそれは非常に遅いペースでのことである。
After all, China is not a country where investors can just take their money in a heartbeat.	結局、中国は投資家がためらわずに投資できる国ではないのだ。
It can hold the fort because it maintains one of the world’s strictest regimes of exchange and capital controls.	中国が砦を守ることが出来るのは、世界で最も厳格な為替・資本取引規制をもつ国の一つだからである。
Unlike many Latin American and former Soviet-bloc countries, where similar controls are honored mainly in the breach, violating capital controls in China is virtually a capital offense.	同様の管理体制が主に閉鎖された社会のみで守られてきた、多くの南米諸国や旧ソ連諸国と異なり、中国の資本規制を責めることは、極めて重大な攻撃を意味するのだ。
But, over the past fifty years, when many other countries, including France and Italy, implemented draconian controls, the result was always the same: eventually, the private sector adapted and eroded the controls’ effectiveness.	しかし、この５０年来、フランスやイタリアを含む世界の国々が厳しい規制を敷いてきたが、結果は常に同じで、規制の効力は、国の民間企業をとおして徐々に風化されている。
Whether by misreporting imports and exports or exploiting corrupt government officials (which China has in ample supply), private capital eventually starts finding its way around the controls if the incentives are strong enough.	インセンティブが十分に強ければ、民間資本は、輸出入を不正に報告したり 、 （ 中国には余るほどいる）汚職政治家に取り入ることで、次第に管理をすり抜ける方法を見つけていくのだ。
Thus, even if the Chinese authorities can somehow keep their capital controls from hemorrhaging as the country’s financial system becomes more sophisticated and decentralized, they will not be able to stop the controls from dying a death of a thousand cuts.	つまり、仮に中国当局が、国家の財政システムの洗練、分権化に伴う資産の大量流出をなんとか規制できても、多くの傷を負い､ゆっくり滅びるのをとめることは出来ないだろう｡固定相場制度を維持するには、米国の金利政策をひたすら真似するしかない。
After that, China will be able to keep its exchange rate pegged only by slavishly following US interest-rate policy, which makes no sense for such a large and diverse region.	そんなことは、かように大規模かつ多様性に富んだ地域には無意味なのだ｡
Indeed, over the longer term, the biggest concern for China is that some day money will be trying to get out.	実際、長期的にみれば、中国にとって一番の関心事はいつか財力が国外へ出ようとするのではないかということだ。
Even China’s vast reserves will not be enough to stave off a painful devaluation.	中国の巨額の外貨準備資金でさえ、苦しい平価切下げを食い止めるのに十分ではない。
It is a lot easier to exit from a fixed exchange rate regime when the pressures on the currency are upwards.	通貨に対する圧力が上向きの時に固定相場制から抜け出す方が、ずっと簡単である。
